file	speaker	gender	dialect	sentence_number	nC_tier1	rateC_tier1	meanC_tier1	meanCLn_tier1	deltaC_tier1	deltaCLn_tier1	varcoC_tier1	rPVI_C_tier1	nPVI_C_tier1	nV_tier1	rateV_tier1	meanV_tier1	meanVLn_tier1	deltaV_tier1	deltaVLn_tier1	varcoV_tier1	rPVI_V_tier1	nPVI_V_tier1	percentV_tier1	nCV_tier1	rateCV_tier1	meanCV_tier1	meanCVLn_tier1	deltaCV_tier1	deltaCVLn_tier1	varcoCV_tier1	rPVI_CV_tier1	nPVI_CV_tier1
01f_ba_001	01	f	ba	001	8	6.589546199675732	0.15175551846790442	-2.149013824684394	0.10011630454159587	0.8770278475092019	0.6597210141176514	6.894147475868142	55.836984294773394	8	8.557570736501109	0.11685559264320672	-2.270515062838106	0.06714381925597886	0.509053201017715	0.5745879828018843	7.999519464059	61.96854614071098	43.50363324876361	16	7.445708376421923	0.13430555555555557	-2.2097644437612503	0.0842982750261212	0.6955688919104307	0.6276603724799096	8.24746991132302	58.16208211660361
01f_ba_002	01	f	ba	002	5	8.787945257262399	0.11379224275135254	-2.4402211971132233	0.1024335969999711	0.7848772310897287	0.9001808429402237	6.874139212980726	54.32475816214575	4	6.972659848413955	0.14341729293269143	-2.077334865508919	0.08088754430624938	0.6144840512183458	0.5640013324209898	5.670752732051251	42.26701119724378	50.20601403716366	9	7.876562810081365	0.1269589317208365	-2.2789383830668655	0.08912720597291794	0.6972748438419006	0.7020160359327471	6.527959540384572	52.33580972473899
01f_ba_003	01	f	ba	003	8	7.150481592205711	0.1398507201375131	-2.035875126395909	0.048504119806014774	0.425022928720076	0.3468278158190491	6.264369191930211	51.00673863128584	8	12.88077046397711	0.07763510752688599	-2.6867398142960974	0.041531638630853546	0.5571248768990027	0.5349595041968691	4.928331988702972	65.59439971589379	35.696628309355496	16	9.196001511814307	0.10874291383219954	-2.3613074703460026	0.054176142552912705	0.584906129027232	0.4982038888208527	6.731717222749861	62.46729761051629
01f_ba_004	01	f	ba	004	7	8.642362491837964	0.11570910164256844	-2.233436020076314	0.04463965967869089	0.4448696968127137	0.3857921204555297	6.964774353058112	59.2879556284456	7	7.082289405997387	0.14119727995769069	-2.0569325623853842	0.06439488484566763	0.49356620400724843	0.4560632107428936	4.4220220339939065	31.073451364706084	54.9605965714743	14	7.784937016908974	0.12845319080012957	-2.145184291230849	0.05484956193744082	0.46061305438439176	0.42700038508802457	7.135363569309734	58.385409188794355
01f_ba_005	01	f	ba	005	6	7.137075560980941	0.14011341080191073	-2.109687973366665	0.06680666151862871	0.6701704567799704	0.47680419123533085	6.897307234020503	52.07183282047907	5	8.701660376808395	0.11492059638011076	-2.195964052825755	0.03174871952372316	0.2894431849194343	0.27626657469398486	5.063404957051355	46.324552612498465	40.59985179897847	11	7.772294677476207	0.1286621315192744	-2.148904373120797	0.05298916361395531	0.5100051233288071	0.4118473943206607	5.909249950303535	46.7495381368639
01f_ba_006	01	f	ba	006	5	6.960928670916115	0.1436589925390504	-2.029615193075949	0.07355349002503975	0.45304037784031426	0.5120005975612415	4.787044538216194	30.580897081514415	4	7.9645326735488196	0.12555664481371537	-2.1866295275989023	0.06376744875403828	0.5624095905483876	0.5078779291103879	10.370670504989665	82.34699226566983	41.148522331889254	9	7.373896888063167	0.1356135046611237	-2.099399341752817	0.06573387372312518	0.4775826547259829	0.48471480688729	5.460439948952513	43.412055582483575
01f_ba_007	01	f	ba	007	9	10.694158925022293	0.09350899000202724	-2.5121748178038157	0.04131435692064827	0.6488260601231319	0.44182229879450724	5.2894086086667995	61.600184355954326	9	8.698552383508748	0.11496165751623932	-2.3074055423554505	0.08230570185542992	0.5107095630293185	0.7159404590509103	6.172832736493055	48.64401671105434	55.14524892822918	18	9.593676730076623	0.10423532375913329	-2.409790180079634	0.06413213079769357	0.5761476100317652	0.6152629308840631	4.599753572747013	45.946326772320035
01f_ba_008	01	f	ba	008	6	13.271975681080855	0.07534673239535059	-2.795916491853936	0.04939190591565256	0.7477312110462249	0.6555281741547744	5.74798838553612	74.6564080528937	5	7.379455191776061	0.13551135876730264	-2.230176161421439	0.10604460566529171	0.7519860548997338	0.782551415836582	12.031124771957355	93.16797540690942	59.98003614868466	11	9.73763976152719	0.10269428983714697	-2.538761796202801	0.08188514448101032	0.7700869185915037	0.7973680387766848	8.49082632098996	77.07425571435324
01f_ba_009	01	f	ba	009	6	4.628445979052748	0.2160552385240669	-1.6194949778844803	0.08992641370386974	0.47985751783268826	0.4162195479183099	10.318941083057158	51.04705101414899	6	10.346533042353116	0.09665073275333297	-2.398066479313767	0.03191168528155512	0.4142068393056837	0.3301753062027836	3.266408733799295	40.72770154938488	30.9078628586835	12	6.395784486717749	0.15635298563869993	-2.0087807285991235	0.08959397589874937	0.5898900871621873	0.5730237611565852	12.326398680365322	77.62024864540457
01f_ba_010	01	f	ba	010	11	8.019825044885918	0.12469099941745986	-2.252814889938421	0.06840149946928885	0.6832003463562255	0.5485680585515536	7.0521219821329275	59.59427569314403	10	11.873224275355454	0.08422312059544268	-2.5986914368533496	0.041012575307515606	0.5536662468773286	0.486951504736038	5.972591411510556	71.64612078568813	38.04403992890528	21	9.485813786745878	0.105420580930785	-2.4175180075169584	0.05937343507769887	0.6345541880056329	0.5632053490264972	5.249523166722462	51.268965267619016
